## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR069V1ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR069V1ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR069V1ER.sorted.bam --OUTPUT WR069V1ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133597	1160	18	0.114006	0.003347			
All Reads	ALL	1	97008	1303	17	0.176362	0.004886			
All Reads	ALL	2	113086	1883	17	0.21863	0.005038			
All Reads	ALL	3	144366	2925	17	0.266029	0.004919			
All Reads	ALL	4	155756	3811	16	0.321264	0.005204			
All Reads	ALL	5	158557	4766	16	0.394672	0.005717			
All Reads	ALL	6	179950	5945	16	0.433778	0.005626			
All Reads	ALL	7	193027	7320	15	0.497921	0.00582			
All Reads	ALL	8	220121	9465	15	0.564581	0.005803			
All Reads	ALL	9	248618	11637	15	0.614576	0.005697			
All Reads	ALL	10	292957	15258	14	0.68385	0.005536			
All Reads	ALL	11	357882	20930	14	0.767886	0.005308			
All Reads	ALL	12	466805	28824	14	0.810748	0.004775			
All Reads	ALL	13	615414	42089	13	0.897984	0.004377			
All Reads	ALL	14	872191	62845	13	0.946077	0.003774			
All Reads	ALL	15	1283430	98071	13	1.003312	0.003204			
All Reads	ALL	16	1920373	152228	13	1.040822	0.002668			
All Reads	ALL	17	2884097	237167	13	1.079722	0.002217			
All Reads	ALL	18	4325188	360130	13	1.093256	0.001822			
All Reads	ALL	19	6385214	539740	12	1.109881	0.001511			
All Reads	ALL	20	9221940	783222	12	1.115142	0.00126			
All Reads	ALL	21	12969991	1106530	12	1.120188	0.001065			
All Reads	ALL	22	17709092	1505383	12	1.116139	0.00091			
All Reads	ALL	23	23507823	1992988	12	1.113165	0.000789			
All Reads	ALL	24	30341227	2562046	12	1.108718	0.000693			
All Reads	ALL	25	38049062	3193940	12	1.102174	0.000617			
All Reads	ALL	26	46340122	3875645	12	1.098131	0.000558			
All Reads	ALL	27	55002303	4574333	11	1.091979	0.000511			
All Reads	ALL	28	63744555	5274923	11	1.086527	0.000473			
All Reads	ALL	29	72264669	5958928	11	1.082703	0.000444			
All Reads	ALL	30	80384070	6599700	11	1.078007	0.00042			
All Reads	ALL	31	87952661	7178225	11	1.071607	0.0004			
All Reads	ALL	32	94822082	7702077	11	1.066512	0.000384			
All Reads	ALL	33	100924868	8156204	11	1.061102	0.000372			
All Reads	ALL	34	106336042	8516574	11	1.051603	0.00036			
All Reads	ALL	35	110981640	8791609	11	1.040123	0.000351			
All Reads	ALL	36	114741834	8956549	10	1.024911	0.000342			
All Reads	ALL	37	116830335	8975353	10	1.008703	0.000337			
All Reads	ALL	38	116865262	8851429	10	0.994478	0.000334			
All Reads	ALL	39	115033283	8587809	10	0.980226	0.000334			
All Reads	ALL	40	111474303	8247653	10	0.971456	0.000338			
All Reads	ALL	41	106285838	7813234	10	0.965212	0.000345			
