## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR069V9ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR069V9ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR069V9ER.sorted.bam --OUTPUT WR069V9ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133597	1057	17	0.09391	0.002889			
All Reads	ALL	1	97008	1226	17	0.150009	0.004284			
All Reads	ALL	2	113086	1746	17	0.183261	0.004386			
All Reads	ALL	3	144366	2709	17	0.22273	0.004279			
All Reads	ALL	4	155756	3676	16	0.280134	0.00462			
All Reads	ALL	5	158557	4719	16	0.353264	0.005143			
All Reads	ALL	6	179950	5989	16	0.395037	0.005105			
All Reads	ALL	7	193027	7386	15	0.454179	0.005285			
All Reads	ALL	8	220121	9848	15	0.531034	0.005351			
All Reads	ALL	9	248618	12278	14	0.586179	0.00529			
All Reads	ALL	10	292957	16329	14	0.661593	0.005177			
All Reads	ALL	11	357882	21828	14	0.723952	0.0049			
All Reads	ALL	12	466805	31110	14	0.791043	0.004485			
All Reads	ALL	13	615414	45466	13	0.87691	0.004113			
All Reads	ALL	14	872191	68928	13	0.938036	0.003573			
All Reads	ALL	15	1283430	107756	13	0.996563	0.003036			
All Reads	ALL	16	1920373	168106	13	1.039042	0.002534			
All Reads	ALL	17	2884097	259109	13	1.06637	0.002095			
All Reads	ALL	18	4325188	397009	13	1.089509	0.001729			
All Reads	ALL	19	6385214	594171	12	1.104514	0.001433			
All Reads	ALL	20	9221940	859851	12	1.106716	0.001194			
All Reads	ALL	21	12969991	1211729	12	1.108923	0.001007			
All Reads	ALL	22	17709092	1651131	12	1.106676	0.000861			
All Reads	ALL	23	23507823	2190215	12	1.105884	0.000747			
All Reads	ALL	24	30341227	2813044	12	1.100471	0.000656			
All Reads	ALL	25	38049062	3512441	12	1.095722	0.000585			
All Reads	ALL	26	46340122	4255865	11	1.090099	0.000528			
All Reads	ALL	27	55002303	5028241	11	1.085102	0.000484			
All Reads	ALL	28	63744555	5800137	11	1.080017	0.000448			
All Reads	ALL	29	72264669	6551897	11	1.076159	0.00042			
All Reads	ALL	30	80384070	7254964	11	1.071274	0.000398			
All Reads	ALL	31	87952661	7910091	11	1.0675	0.00038			
All Reads	ALL	32	94822082	8479382	11	1.061427	0.000365			
All Reads	ALL	33	100924868	8990051	11	1.057303	0.000353			
All Reads	ALL	34	106336042	9390526	11	1.048202	0.000342			
All Reads	ALL	35	110981640	9697380	11	1.037143	0.000333			
All Reads	ALL	36	114741834	9881351	10	1.022186	0.000325			
All Reads	ALL	37	116830335	9901383	10	1.005948	0.00032			
All Reads	ALL	38	116865262	9764608	10	0.991756	0.000317			
All Reads	ALL	39	115033283	9490100	10	0.979225	0.000318			
All Reads	ALL	40	111474303	9111637	10	0.970191	0.000321			
All Reads	ALL	41	106285838	8645991	10	0.96555	0.000328			
All Reads	ALL	42	100115791	8146408	10	0.965826	0.000338			
All Reads	ALL	43	93766613	7661760	10	0.969875	0.00035			
All Reads	ALL	44	88114092	7243782	10	0.975788	0.000363			
All Reads	ALL	45	83608187	6883074	10	0.977168	0.000372			
All Reads	ALL	46	80190507	6582615	10	0.974341	0.00038			
All Reads	ALL	47	77498050	6330991	9	0.969653	0.000385			
All Reads	ALL	48	74819675	6068154	9	0.962667	0.000391			
All Reads	ALL	49	71557088	5778785	9	0.95856	0.000399			
All Reads	ALL	50	67428237	5421149	9	0.9543	0.00041			
All Reads	ALL	51	62599246	5024803	9	0.952764	0.000425			
All Reads	ALL	52	57591828	4633424	9	0.954941	0.000444			
All Reads	ALL	53	52909869	4270675	9	0.958066	0.000464			
All Reads	ALL	54	48741872	3949680	9	0.961823	0.000484			
All Reads	ALL	55	45067388	3673695	9	0.967556	0.000505			
All Reads	ALL	56	41525675	3390759	9	0.969205	0.000526			
All Reads	ALL	57	37757460	3087587	9	0.970626	0.000552			
All Reads	ALL	58	33606878	2734189	9	0.965686	0.000584			
All Reads	ALL	59	29109921	2344074	9	0.955797	0.000624			
All Reads	ALL	60	24599672	1956777	9	0.944164	0.000675			
All Reads	ALL	61	20433567	1594387	9	0.926158	0.000733			
All Reads	ALL	62	16876845	1293809	9	0.909943	0.0008			
All Reads	ALL	63	13942437	1043093	8	0.888014	0.000869			
All Reads	ALL	64	11519972	843353	8	0.868947	0.000946			
All Reads	ALL	65	9502746	679323	8	0.848521	0.001029			
All Reads	ALL	66	7831353	547156	8	0.829296	0.001121			
All Reads	ALL	67	6363395	435826	8	0.812942	0.001231			
All Reads	ALL	68	5089284	341866	8	0.797324	0.001364			
All Reads	ALL	69	4074158	268959	8	0.783581	0.001511			
All Reads	ALL	70	3269564	211457	8	0.767658	0.001669			
All Reads	ALL	71	2617980	166119	8	0.753162	0.001848			
All Reads	ALL	72	2117944	132265	8	0.741252	0.002038			
All Reads	ALL	73	1728380	106746	8	0.733074	0.002244			
All Reads	ALL	74	1425788	87044	7	0.724635	0.002456			
All Reads	ALL	75	1200072	72675	7	0.718808	0.002666			
All Reads	ALL	76	1034915	61890	7	0.709825	0.002853			
All Reads	ALL	77	911308	52624	7	0.685416	0.002988			
All Reads	ALL	78	811087	44849	7	0.656328	0.003099			
All Reads	ALL	79	708223	38156	7	0.639482	0.003274			
All Reads	ALL	80	604166	31714	7	0.62306	0.003499			
All Reads	ALL	81	508396	25763	7	0.601492	0.003747			
All Reads	ALL	82	426951	20768	7	0.577367	0.004006			
All Reads	ALL	83	351300	16395	7	0.553948	0.004326			
All Reads	ALL	84	272651	12526	7	0.545307	0.004872			
All Reads	ALL	85	197877	9222	7	0.553178	0.00576			
All Reads	ALL	86	132088	6638	7	0.596498	0.007321			
All Reads	ALL	87	86165	4814	7	0.663148	0.009558			
All Reads	ALL	88	59409	3261	7	0.651529	0.011409			
All Reads	ALL	89	38378	2122	6	0.656294	0.014247			
All Reads	ALL	90	25093	1384	6	0.654665	0.017597			
All Reads	ALL	91	16061	822	6	0.607484	0.021188			
All Reads	ALL	92	9569	561	7	0.695876	0.02938			
All Reads	ALL	93	6011	382	6	0.754314	0.038594			
All Reads	ALL	94	3424	180	6	0.623985	0.046509			
All Reads	ALL	95	1675	57	6	0.40392	0.053501			
All Reads	ALL	96	986	20	5	0.240762	0.053836			
All Reads	ALL	97	658	13	5	0.234505	0.06504			
All Reads	ALL	98	328	1	14	0.036188	0.036188			
All Reads	ALL	99	133	0	0	0	0			
All Reads	ALL	100	339	3	4	0.105041	0.060645			
All Reads	UNIQUE	0	133597	1057	17	0.09391	0.002889			
All Reads	UNIQUE	1	97008	1226	17	0.150009	0.004284			
All Reads	UNIQUE	2	113086	1746	17	0.183261	0.004386			
All Reads	UNIQUE	3	144366	2709	17	0.22273	0.004279			
All Reads	UNIQUE	4	155756	3676	16	0.280134	0.00462			
All Reads	UNIQUE	5	158557	4719	16	0.353264	0.005143			
All Reads	UNIQUE	6	179950	5989	16	0.395037	0.005105			
All Reads	UNIQUE	7	193027	7386	15	0.454179	0.005285			
All Reads	UNIQUE	8	220121	9848	15	0.531034	0.005351			
All Reads	UNIQUE	9	248618	12278	14	0.586179	0.00529			
All Reads	UNIQUE	10	292957	16329	14	0.661593	0.005177			
All Reads	UNIQUE	11	357882	21828	14	0.723952	0.0049			
All Reads	UNIQUE	12	466805	31110	14	0.791043	0.004485			
All Reads	UNIQUE	13	615414	45466	13	0.87691	0.004113			
All Reads	UNIQUE	14	872191	68928	13	0.938036	0.003573			
All Reads	UNIQUE	15	1283430	107756	13	0.996563	0.003036			
All Reads	UNIQUE	16	1920373	168106	13	1.039042	0.002534			
All Reads	UNIQUE	17	2884097	259109	13	1.06637	0.002095			
All Reads	UNIQUE	18	4325188	397009	13	1.089509	0.001729			
All Reads	UNIQUE	19	6385214	594171	12	1.104514	0.001433			
All Reads	UNIQUE	20	9221940	859851	12	1.106716	0.001194			
All Reads	UNIQUE	21	12969991	1211729	12	1.108923	0.001007			
All Reads	UNIQUE	22	17709092	1651131	12	1.106676	0.000861			
All Reads	UNIQUE	23	23507823	2190215	12	1.105884	0.000747			
All Reads	UNIQUE	24	30341227	2813044	12	1.100471	0.000656			
All Reads	UNIQUE	25	38049062	3512441	12	1.095722	0.000585			
All Reads	UNIQUE	26	46340122	4255865	11	1.090099	0.000528			
All Reads	UNIQUE	27	55002303	5028241	11	1.085102	0.000484			
All Reads	UNIQUE	28	63744555	5800137	11	1.080017	0.000448			
All Reads	UNIQUE	29	72264669	6551897	11	1.076159	0.00042			
All Reads	UNIQUE	30	80384070	7254964	11	1.071274	0.000398			
All Reads	UNIQUE	31	87952661	7910091	11	1.0675	0.00038			
All Reads	UNIQUE	32	94822082	8479382	11	1.061427	0.000365			
All Reads	UNIQUE	33	100924868	8990051	11	1.057303	0.000353			
All Reads	UNIQUE	34	106336042	9390526	11	1.048202	0.000342			
All Reads	UNIQUE	35	110981640	9697380	11	1.037143	0.000333			
All Reads	UNIQUE	36	114741834	9881351	10	1.022186	0.000325			
All Reads	UNIQUE	37	116830335	9901383	10	1.005948	0.00032			
All Reads	UNIQUE	38	116865262	9764608	10	0.991756	0.000317			
