## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V1WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V1WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V1WR.sorted.bam --OUTPUT WR025V1WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133597	2224	19	0.18642	0.003953			
All Reads	ALL	1	97008	2226	18	0.256964	0.005446			
All Reads	ALL	2	113086	3052	18	0.302225	0.005471			
All Reads	ALL	3	144366	4508	18	0.349682	0.005208			
All Reads	ALL	4	155756	5445	17	0.391478	0.005305			
All Reads	ALL	5	158557	6429	17	0.454059	0.005663			
All Reads	ALL	6	179950	7855	16	0.48882	0.005515			
All Reads	ALL	7	193027	9321	16	0.540753	0.005601			
All Reads	ALL	8	220121	11633	15	0.591813	0.005487			
All Reads	ALL	9	248618	14654	15	0.660052	0.005453			
All Reads	ALL	10	292957	19083	15	0.729453	0.00528			
All Reads	ALL	11	357882	25347	14	0.793124	0.004982			
All Reads	ALL	12	466805	35449	14	0.850399	0.004517			
All Reads	ALL	13	615414	50846	14	0.925217	0.004103			
All Reads	ALL	14	872191	77351	13	0.993136	0.003571			
All Reads	ALL	15	1283430	119467	13	1.04239	0.003016			
All Reads	ALL	16	1920373	186764	13	1.089085	0.00252			
All Reads	ALL	17	2884097	288405	13	1.119818	0.002085			
All Reads	ALL	18	4325188	442459	13	1.145572	0.001722			
All Reads	ALL	19	6385214	665080	13	1.166414	0.00143			
All Reads	ALL	20	9221940	966227	12	1.173306	0.001194			
