## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR069V1WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR069V1WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR069V1WR.sorted.bam --OUTPUT WR069V1WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133597	1569	19	0.130857	0.003304			
All Reads	ALL	1	97008	1627	19	0.186875	0.004633			
All Reads	ALL	2	113086	2275	18	0.224153	0.0047			
All Reads	ALL	3	144366	3219	17	0.248444	0.004379			
All Reads	ALL	4	155756	4188	17	0.299595	0.004629			
All Reads	ALL	5	158557	5136	17	0.360921	0.005036			
All Reads	ALL	6	179950	6352	16	0.393306	0.004935			
All Reads	ALL	7	193027	7711	16	0.445107	0.005069			
All Reads	ALL	8	220121	9932	15	0.502744	0.005045			
All Reads	ALL	9	248618	12544	15	0.56218	0.005019			
All Reads	ALL	10	292957	16734	15	0.636455	0.00492			
All Reads	ALL	11	357882	22709	14	0.707018	0.004692			
All Reads	ALL	12	466805	31697	14	0.75658	0.00425			
All Reads	ALL	13	615414	46851	14	0.848249	0.003919			
All Reads	ALL	14	872191	71178	13	0.909298	0.003408			
All Reads	ALL	15	1283430	111295	13	0.966219	0.002896			
All Reads	ALL	16	1920373	175377	13	1.017558	0.00243			
All Reads	ALL	17	2884097	273569	13	1.056888	0.002021			
All Reads	ALL	18	4325188	420616	13	1.08356	0.001671			
All Reads	ALL	19	6385214	629992	13	1.099339	0.001385			
All Reads	ALL	20	9221940	917348	12	1.108368	0.001157			
All Reads	ALL	21	12969991	1299585	12	1.116444	0.000979			
All Reads	ALL	22	17709092	1777099	12	1.118117	0.000839			
All Reads	ALL	23	23507823	2359017	12	1.118126	0.000728			
All Reads	ALL	24	30341227	3038763	12	1.115927	0.00064			
All Reads	ALL	25	38049062	3799496	12	1.112638	0.000571			
All Reads	ALL	26	46340122	4621323	12	1.111172	0.000517			
All Reads	ALL	27	55002303	5472847	12	1.108676	0.000474			
All Reads	ALL	28	63744555	6323021	11	1.105232	0.00044			
All Reads	ALL	29	72264669	7146079	11	1.101828	0.000412			
All Reads	ALL	30	80384070	7924873	11	1.098486	0.00039			
All Reads	ALL	31	87952661	8636313	11	1.094086	0.000372			
All Reads	ALL	32	94822082	9261664	11	1.088307	0.000358			
All Reads	ALL	33	100924868	9806072	11	1.082602	0.000346			
All Reads	ALL	34	106336042	10226795	11	1.071596	0.000335			
All Reads	ALL	35	110981640	10535767	11	1.05776	0.000326			
All Reads	ALL	36	114741834	10708402	11	1.03986	0.000318			
All Reads	ALL	37	116830335	10712362	11	1.021649	0.000312			
